Site_ID_AOV,Proj_Institution,ROR
65,Alaska Department of Fish and Game,02rh7vj17
66,Alaska Department of Fish and Game,02rh7vj17
67,Alaska Department of Fish and Game,02rh7vj17
68,Alaska Department of Fish and Game,02rh7vj17
69,Alaska Department of Fish and Game,02rh7vj17
70,Alaska Department of Fish and Game,02rh7vj17
71,Alaska Department of Fish and Game,02rh7vj17
72,Alaska Department of Fish and Game,02rh7vj17
73,Alaska Department of Fish and Game,02rh7vj17
74,Alaska Department of Fish and Game,02rh7vj17
75,Alaska Department of Fish and Game,02rh7vj17
76,Alaska Department of Fish and Game,02rh7vj17
77,Alaska Department of Fish and Game,02rh7vj17
78,Alaska Department of Fish and Game,02rh7vj17
79,Alaska Department of Fish and Game,02rh7vj17
80,Alaska Department of Fish and Game,02rh7vj17
81,Alaska Department of Fish and Game,02rh7vj17
82,Alaska Department of Fish and Game,02rh7vj17
83,Alaska Department of Fish and Game,02rh7vj17
84,Alaska Department of Fish and Game,02rh7vj17
85,Alaska Department of Fish and Game,02rh7vj17
86,Alaska Department of Fish and Game,02rh7vj17
87,Alaska Department of Fish and Game,02rh7vj17
88,Alaska Department of Fish and Game,02rh7vj17
89,Alaska Department of Fish and Game,02rh7vj17
90,Alaska Department of Fish and Game,02rh7vj17
91,Alaska Department of Fish and Game,02rh7vj17
92,Alaska Department of Fish and Game,02rh7vj17
93,Alaska Department of Fish and Game,02rh7vj17
94,Alaska Department of Fish and Game,02rh7vj17
95,Alaska Department of Fish and Game,02rh7vj17
96,Alaska Department of Fish and Game,02rh7vj17
97,Alaska Department of Fish and Game,02rh7vj17
98,Alaska Department of Fish and Game,02rh7vj17
99,Alaska Department of Fish and Game,02rh7vj17
100,Alaska Department of Fish and Game,02rh7vj17
101,Alaska Department of Fish and Game,02rh7vj17
102,Alaska Department of Fish and Game,02rh7vj17
103,Alaska Department of Fish and Game,02rh7vj17
104,Alaska Department of Fish and Game,02rh7vj17
105,Alaska Department of Fish and Game,02rh7vj17
106,Alaska Department of Fish and Game,02rh7vj17
107,Alaska Department of Fish and Game,02rh7vj17
108,Alaska Department of Fish and Game,02rh7vj17
109,Alaska Department of Fish and Game,02rh7vj17
110,Alaska Department of Fish and Game,02rh7vj17
111,Alaska Department of Fish and Game,02rh7vj17
112,Alaska Department of Fish and Game,02rh7vj17
113,Alaska Department of Fish and Game,02rh7vj17
114,Alaska Department of Fish and Game,02rh7vj17
115,Alaska Department of Fish and Game,02rh7vj17
116,Alaska Department of Fish and Game,02rh7vj17
117,Alaska Department of Fish and Game,02rh7vj17
118,Alaska Department of Fish and Game,02rh7vj17
119,Alaska Department of Fish and Game,02rh7vj17
120,Alaska Department of Fish and Game,02rh7vj17
121,Alaska Department of Fish and Game,02rh7vj17
122,Alaska Department of Fish and Game,02rh7vj17
123,Alaska Department of Fish and Game,02rh7vj17
124,Alaska Department of Fish and Game,02rh7vj17
125,Alaska Department of Fish and Game,02rh7vj17
126,Alaska Department of Fish and Game,02rh7vj17
127,Alaska Department of Fish and Game,02rh7vj17
128,Alaska Department of Fish and Game,02rh7vj17
129,Alaska Department of Fish and Game,02rh7vj17
130,Alaska Department of Fish and Game,02rh7vj17
131,Alaska Department of Fish and Game,02rh7vj17
132,Alaska Department of Fish and Game,02rh7vj17
133,Alaska Department of Fish and Game,02rh7vj17
134,Alaska Department of Fish and Game,02rh7vj17
135,Alaska Department of Fish and Game,02rh7vj17
136,Alaska Department of Fish and Game,02rh7vj17
137,Alaska Department of Fish and Game,02rh7vj17
138,Alaska Department of Fish and Game,02rh7vj17
139,Alaska Department of Fish and Game,02rh7vj17
140,Alaska Department of Fish and Game,02rh7vj17
141,Alaska Department of Fish and Game,02rh7vj17
142,Alaska Department of Fish and Game,02rh7vj17
143,Alaska Department of Fish and Game,02rh7vj17
144,Alaska Department of Fish and Game,02rh7vj17
145,Alaska Department of Fish and Game,02rh7vj17
146,Alaska Department of Fish and Game,02rh7vj17
147,Alaska Department of Fish and Game,02rh7vj17
148,Alaska Department of Fish and Game,02rh7vj17
149,Alaska Department of Fish and Game,02rh7vj17
150,Alaska Department of Fish and Game,02rh7vj17
151,Alaska Department of Fish and Game,02rh7vj17
152,Alaska Department of Fish and Game,02rh7vj17
153,Alaska Department of Fish and Game,02rh7vj17
154,Alaska Department of Fish and Game,02rh7vj17
155,Alaska Department of Fish and Game,02rh7vj17
156,Alaska Department of Fish and Game,02rh7vj17
157,Alaska Department of Fish and Game,02rh7vj17
158,Alaska Department of Fish and Game,02rh7vj17
159,Alaska Department of Fish and Game,02rh7vj17
160,Alaska Department of Fish and Game,02rh7vj17
161,Alaska Department of Fish and Game,02rh7vj17
162,Alaska Department of Fish and Game,02rh7vj17
163,Alaska Department of Fish and Game,02rh7vj17
164,Alaska Department of Fish and Game,02rh7vj17
165,Alaska Department of Fish and Game,02rh7vj17
166,Alaska Department of Fish and Game,02rh7vj17
167,Alaska Department of Fish and Game,02rh7vj17
168,Alaska Department of Fish and Game,02rh7vj17
169,Alaska Department of Fish and Game,02rh7vj17
170,Alaska Department of Fish and Game,02rh7vj17
171,Alaska Department of Fish and Game,02rh7vj17
172,Alaska Department of Fish and Game,02rh7vj17
173,Alaska Department of Fish and Game,02rh7vj17
174,Alaska Department of Fish and Game,02rh7vj17
175,Alaska Department of Fish and Game,02rh7vj17
176,Alaska Department of Fish and Game,02rh7vj17
177,Alaska Department of Fish and Game,02rh7vj17
178,Alaska Department of Fish and Game,02rh7vj17
179,Alaska Department of Fish and Game,02rh7vj17
180,Alaska Department of Fish and Game,02rh7vj17
181,Alaska Department of Fish and Game,02rh7vj17
182,Alaska Department of Fish and Game,02rh7vj17
183,Alaska Department of Fish and Game,02rh7vj17
184,Alaska Department of Fish and Game,02rh7vj17
185,Alaska Department of Fish and Game,02rh7vj17
186,Alaska Department of Fish and Game,02rh7vj17
187,Alaska Department of Fish and Game,02rh7vj17
188,Alaska Department of Fish and Game,02rh7vj17
189,Alaska Department of Fish and Game,02rh7vj17
190,Alaska Department of Fish and Game,02rh7vj17
191,Alaska Department of Fish and Game,02rh7vj17
192,Alaska Department of Fish and Game,02rh7vj17
193,Alaska Department of Fish and Game,02rh7vj17
194,Alaska Department of Fish and Game,02rh7vj17
195,Alaska Department of Fish and Game,02rh7vj17
196,Alaska Department of Fish and Game,02rh7vj17
197,Alaska Department of Fish and Game,02rh7vj17
198,Alaska Department of Fish and Game,02rh7vj17
199,Alaska Department of Fish and Game,02rh7vj17
200,Alaska Department of Fish and Game,02rh7vj17
201,Alaska Department of Fish and Game,02rh7vj17
202,Alaska Department of Fish and Game,02rh7vj17
203,Alaska Department of Fish and Game,02rh7vj17
204,Alaska Department of Fish and Game,02rh7vj17
205,Alaska Department of Fish and Game,02rh7vj17
206,Alaska Department of Fish and Game,02rh7vj17
207,Alaska Department of Fish and Game,02rh7vj17
208,Alaska Department of Fish and Game,02rh7vj17
209,Alaska Department of Fish and Game,02rh7vj17
210,Alaska Department of Fish and Game,02rh7vj17
211,Alaska Department of Fish and Game,02rh7vj17
212,Alaska Department of Fish and Game,02rh7vj17
213,Alaska Department of Fish and Game,02rh7vj17
214,Alaska Department of Fish and Game,02rh7vj17
215,Alaska Department of Fish and Game,02rh7vj17
216,Alaska Department of Fish and Game,02rh7vj17
217,Alaska Department of Fish and Game,02rh7vj17
218,Alaska Department of Fish and Game,02rh7vj17
219,Alaska Department of Fish and Game,02rh7vj17
220,Alaska Department of Fish and Game,02rh7vj17
221,Alaska Department of Fish and Game,02rh7vj17
222,Alaska Department of Fish and Game,02rh7vj17
223,Alaska Department of Fish and Game,02rh7vj17
224,Alaska Department of Fish and Game,02rh7vj17
225,Alaska Department of Fish and Game,02rh7vj17
226,Alaska Department of Fish and Game,02rh7vj17
227,Alaska Department of Fish and Game,02rh7vj17
228,Alaska Department of Fish and Game,02rh7vj17
229,Alaska Department of Fish and Game,02rh7vj17
230,Alaska Department of Fish and Game,02rh7vj17
231,Alaska Department of Fish and Game,02rh7vj17
232,Alaska Department of Fish and Game,02rh7vj17
233,Alaska Department of Fish and Game,02rh7vj17
234,Alaska Department of Fish and Game,02rh7vj17
235,Alaska Department of Fish and Game,02rh7vj17
236,Alaska Department of Fish and Game,02rh7vj17
237,Alaska Department of Fish and Game,02rh7vj17
238,Alaska Department of Fish and Game,02rh7vj17
239,Alaska Department of Fish and Game,02rh7vj17
240,Alaska Department of Fish and Game,02rh7vj17
241,Alaska Department of Fish and Game,02rh7vj17
242,Alaska Department of Fish and Game,02rh7vj17
243,Alaska Department of Fish and Game,02rh7vj17
244,Alaska Department of Fish and Game,02rh7vj17
245,Alaska Department of Fish and Game,02rh7vj17
246,Alaska Department of Fish and Game,02rh7vj17
247,Alaska Department of Fish and Game,02rh7vj17
248,Alaska Department of Fish and Game,02rh7vj17
249,Alaska Department of Fish and Game,02rh7vj17
250,Alaska Department of Fish and Game,02rh7vj17
251,Alaska Department of Fish and Game,02rh7vj17
252,Alaska Department of Fish and Game,02rh7vj17
253,Alaska Department of Fish and Game,02rh7vj17
254,Alaska Department of Fish and Game,02rh7vj17
255,Alaska Department of Fish and Game,02rh7vj17
256,Alaska Department of Fish and Game,02rh7vj17
257,Alaska Department of Fish and Game,02rh7vj17
258,Alaska Department of Fish and Game,02rh7vj17
259,Alaska Department of Fish and Game,02rh7vj17
260,Alaska Department of Fish and Game,02rh7vj17
261,Alaska Department of Fish and Game,02rh7vj17
262,Alaska Department of Fish and Game,02rh7vj17
263,Alaska Department of Fish and Game,02rh7vj17
264,Alaska Department of Fish and Game,02rh7vj17
265,Alaska Department of Fish and Game,02rh7vj17
266,Alaska Department of Fish and Game,02rh7vj17
267,Alaska Department of Fish and Game,02rh7vj17
268,Alaska Department of Fish and Game,02rh7vj17
269,Alaska Department of Fish and Game,02rh7vj17
270,Alaska Department of Fish and Game,02rh7vj17
271,Alaska Department of Fish and Game,02rh7vj17
272,Alaska Department of Fish and Game,02rh7vj17
273,Alaska Department of Fish and Game,02rh7vj17
274,Alaska Department of Fish and Game,02rh7vj17
275,Alaska Department of Fish and Game,02rh7vj17
276,Alaska Department of Fish and Game,02rh7vj17
277,Alaska Department of Fish and Game,02rh7vj17
278,Alaska Department of Fish and Game,02rh7vj17
279,Alaska Department of Fish and Game,02rh7vj17
280,Alaska Department of Fish and Game,02rh7vj17
281,Alaska Department of Fish and Game,02rh7vj17
282,Alaska Department of Fish and Game,02rh7vj17
283,Alaska Department of Fish and Game,02rh7vj17
284,Alaska Department of Fish and Game,02rh7vj17
285,Alaska Department of Fish and Game,02rh7vj17
286,Alaska Department of Fish and Game,02rh7vj17
287,Alaska Department of Fish and Game,02rh7vj17
288,Alaska Department of Fish and Game,02rh7vj17
289,Alaska Department of Fish and Game,02rh7vj17
290,Alaska Department of Fish and Game,02rh7vj17
291,Alaska Department of Fish and Game,02rh7vj17
292,Alaska Department of Fish and Game,02rh7vj17
293,Alaska Department of Fish and Game,02rh7vj17
294,Alaska Department of Fish and Game,02rh7vj17
295,Alaska Department of Fish and Game,02rh7vj17
296,Alaska Department of Fish and Game,02rh7vj17
297,Alaska Department of Fish and Game,02rh7vj17
298,Alaska Department of Fish and Game,02rh7vj17
299,Alaska Department of Fish and Game,02rh7vj17
300,Alaska Department of Fish and Game,02rh7vj17
301,Alaska Department of Fish and Game,02rh7vj17
302,Alaska Department of Fish and Game,02rh7vj17
303,Alaska Department of Fish and Game,02rh7vj17
304,Alaska Department of Fish and Game,02rh7vj17
305,Alaska Department of Fish and Game,02rh7vj17
306,Alaska Department of Fish and Game,02rh7vj17
307,Alaska Department of Fish and Game,02rh7vj17
308,Alaska Department of Fish and Game,02rh7vj17
309,Alaska Department of Fish and Game,02rh7vj17
310,Alaska Department of Fish and Game,02rh7vj17
311,Alaska Department of Fish and Game,02rh7vj17
312,Alaska Department of Fish and Game,02rh7vj17
313,Alaska Department of Fish and Game,02rh7vj17
314,Alaska Department of Fish and Game,02rh7vj17
315,Alaska Department of Fish and Game,02rh7vj17
316,Alaska Department of Fish and Game,02rh7vj17
317,Alaska Department of Fish and Game,02rh7vj17
318,Alaska Department of Fish and Game,02rh7vj17
319,Alaska Department of Fish and Game,02rh7vj17
320,Alaska Department of Fish and Game,02rh7vj17
321,Alaska Department of Fish and Game,02rh7vj17
322,Alaska Department of Fish and Game,02rh7vj17
323,Alaska Department of Fish and Game,02rh7vj17
324,Alaska Department of Fish and Game,02rh7vj17
325,Alaska Department of Fish and Game,02rh7vj17
326,Alaska Department of Fish and Game,02rh7vj17
327,Alaska Department of Fish and Game,02rh7vj17
328,Alaska Department of Fish and Game,02rh7vj17
329,Alaska Department of Fish and Game,02rh7vj17
330,Alaska Department of Fish and Game,02rh7vj17
331,Alaska Department of Fish and Game,02rh7vj17
332,Alaska Department of Fish and Game,02rh7vj17
333,Alaska Department of Fish and Game,02rh7vj17
334,Alaska Department of Fish and Game,02rh7vj17
335,Alaska Department of Fish and Game,02rh7vj17
336,Alaska Department of Fish and Game,02rh7vj17
337,Alaska Department of Fish and Game,02rh7vj17
338,Alaska Department of Fish and Game,02rh7vj17
339,Alaska Department of Fish and Game,02rh7vj17
340,Alaska Department of Fish and Game,02rh7vj17
341,Alaska Department of Fish and Game,02rh7vj17
342,Alaska Department of Fish and Game,02rh7vj17
343,Alaska Department of Fish and Game,02rh7vj17
344,Alaska Department of Fish and Game,02rh7vj17
345,Alaska Department of Fish and Game,02rh7vj17
346,Alaska Department of Fish and Game,02rh7vj17
347,Alaska Department of Fish and Game,02rh7vj17
348,Alaska Department of Fish and Game,02rh7vj17
349,Alaska Department of Fish and Game,02rh7vj17
350,Alaska Department of Fish and Game,02rh7vj17
351,Alaska Department of Fish and Game,02rh7vj17
352,Alaska Department of Fish and Game,02rh7vj17
353,Alaska Department of Fish and Game,02rh7vj17
354,Alaska Department of Fish and Game,02rh7vj17
355,Alaska Department of Fish and Game,02rh7vj17
356,Alaska Department of Fish and Game,02rh7vj17
357,Alaska Department of Fish and Game,02rh7vj17
358,Alaska Department of Fish and Game,02rh7vj17
359,Alaska Department of Fish and Game,02rh7vj17
360,Alaska Department of Fish and Game,02rh7vj17
361,Alaska Department of Fish and Game,02rh7vj17
362,Alaska Department of Fish and Game,02rh7vj17
363,Alaska Department of Fish and Game,02rh7vj17
364,Alaska Department of Fish and Game,02rh7vj17
365,Alaska Department of Fish and Game,02rh7vj17
366,Alaska Department of Fish and Game,02rh7vj17
367,Alaska Department of Fish and Game,02rh7vj17
368,Alaska Department of Fish and Game,02rh7vj17
369,Alaska Department of Fish and Game,02rh7vj17
370,Alaska Department of Fish and Game,02rh7vj17
371,Alaska Department of Fish and Game,02rh7vj17
372,Alaska Department of Fish and Game,02rh7vj17
373,Alaska Department of Fish and Game,02rh7vj17
374,Alaska Department of Fish and Game,02rh7vj17
375,Alaska Department of Fish and Game,02rh7vj17
376,Alaska Department of Fish and Game,02rh7vj17
377,Alaska Department of Fish and Game,02rh7vj17
378,Alaska Department of Fish and Game,02rh7vj17
379,Alaska Department of Fish and Game,02rh7vj17
380,Alaska Department of Fish and Game,02rh7vj17
381,Alaska Department of Fish and Game,02rh7vj17
382,Alaska Department of Fish and Game,02rh7vj17
383,Alaska Department of Fish and Game,02rh7vj17
384,Alaska Department of Fish and Game,02rh7vj17
385,Alaska Department of Fish and Game,02rh7vj17
386,Alaska Department of Fish and Game,02rh7vj17
387,Alaska Department of Fish and Game,02rh7vj17
388,Alaska Department of Fish and Game,02rh7vj17
389,Alaska Department of Fish and Game,02rh7vj17
390,Alaska Department of Fish and Game,02rh7vj17
391,Alaska Department of Fish and Game,02rh7vj17
392,Alaska Department of Fish and Game,02rh7vj17
393,Alaska Department of Fish and Game,02rh7vj17
394,Alaska Department of Fish and Game,02rh7vj17
395,Alaska Department of Fish and Game,02rh7vj17
396,Alaska Department of Fish and Game,02rh7vj17
397,Alaska Department of Fish and Game,02rh7vj17
398,Alaska Department of Fish and Game,02rh7vj17
399,Alaska Department of Fish and Game,02rh7vj17
400,Alaska Department of Fish and Game,02rh7vj17
401,Alaska Department of Fish and Game,02rh7vj17
402,Alaska Department of Fish and Game,02rh7vj17
403,Alaska Department of Fish and Game,02rh7vj17
404,Alaska Department of Fish and Game,02rh7vj17
405,Alaska Department of Fish and Game,02rh7vj17
406,Alaska Department of Fish and Game,02rh7vj17
407,Alaska Department of Fish and Game,02rh7vj17
408,Alaska Department of Fish and Game,02rh7vj17
409,Alaska Department of Fish and Game,02rh7vj17
410,Alaska Department of Fish and Game,02rh7vj17
411,Alaska Department of Fish and Game,02rh7vj17
412,Alaska Department of Fish and Game,02rh7vj17
413,Alaska Department of Fish and Game,02rh7vj17
414,Alaska Department of Fish and Game,02rh7vj17
415,Alaska Department of Fish and Game,02rh7vj17
416,Alaska Department of Fish and Game,02rh7vj17
417,Alaska Department of Fish and Game,02rh7vj17
418,Alaska Department of Fish and Game,02rh7vj17
419,Alaska Department of Fish and Game,02rh7vj17
420,Alaska Department of Fish and Game,02rh7vj17
421,Alaska Department of Fish and Game,02rh7vj17
422,Alaska Department of Fish and Game,02rh7vj17
423,Alaska Department of Fish and Game,02rh7vj17
424,Alaska Department of Fish and Game,02rh7vj17
425,Alaska Department of Fish and Game,02rh7vj17
426,Alaska Department of Fish and Game,02rh7vj17
427,Alaska Department of Fish and Game,02rh7vj17
428,Alaska Department of Fish and Game,02rh7vj17
429,Alaska Department of Fish and Game,02rh7vj17
430,Alaska Department of Fish and Game,02rh7vj17
431,Alaska Department of Fish and Game,02rh7vj17
432,Alaska Department of Fish and Game,02rh7vj17
433,Alaska Department of Fish and Game,02rh7vj17
434,Alaska Department of Fish and Game,02rh7vj17
435,Alaska Department of Fish and Game,02rh7vj17
436,Alaska Department of Fish and Game,02rh7vj17
437,Alaska Department of Fish and Game,02rh7vj17
438,Alaska Department of Fish and Game,02rh7vj17
439,Alaska Department of Fish and Game,02rh7vj17
440,Alaska Department of Fish and Game,02rh7vj17
441,Alaska Department of Fish and Game,02rh7vj17
442,Alaska Department of Fish and Game,02rh7vj17
443,Alaska Department of Fish and Game,02rh7vj17
444,Alaska Department of Fish and Game,02rh7vj17
445,Alaska Department of Fish and Game,02rh7vj17
446,Alaska Department of Fish and Game,02rh7vj17
447,Alaska Department of Fish and Game,02rh7vj17
448,Alaska Department of Fish and Game,02rh7vj17
449,Alaska Department of Fish and Game,02rh7vj17
450,Alaska Department of Fish and Game,02rh7vj17
451,Alaska Department of Fish and Game,02rh7vj17
452,Alaska Department of Fish and Game,02rh7vj17
453,Alaska Department of Fish and Game,02rh7vj17
454,Alaska Department of Fish and Game,02rh7vj17
455,Alaska Department of Fish and Game,02rh7vj17
456,Alaska Department of Fish and Game,02rh7vj17
457,Alaska Department of Fish and Game,02rh7vj17
458,Alaska Department of Fish and Game,02rh7vj17
459,Alaska Department of Fish and Game,02rh7vj17
460,Alaska Department of Fish and Game,02rh7vj17
461,Alaska Department of Fish and Game,02rh7vj17
462,Alaska Department of Fish and Game,02rh7vj17
463,Alaska Department of Fish and Game,02rh7vj17
464,Alaska Department of Fish and Game,02rh7vj17
465,Alaska Department of Fish and Game,02rh7vj17
466,Alaska Department of Fish and Game,02rh7vj17
467,Alaska Department of Fish and Game,02rh7vj17
468,Alaska Department of Fish and Game,02rh7vj17
469,Alaska Department of Fish and Game,02rh7vj17
470,Alaska Department of Fish and Game,02rh7vj17
471,Alaska Department of Fish and Game,02rh7vj17
472,Alaska Department of Fish and Game,02rh7vj17
473,Alaska Department of Fish and Game,02rh7vj17
474,Alaska Department of Fish and Game,02rh7vj17
475,Alaska Department of Fish and Game,02rh7vj17
476,Alaska Department of Fish and Game,02rh7vj17
477,Alaska Department of Fish and Game,02rh7vj17
478,Alaska Department of Fish and Game,02rh7vj17
479,Alaska Department of Fish and Game,02rh7vj17
480,Alaska Department of Fish and Game,02rh7vj17
481,Alaska Department of Fish and Game,02rh7vj17
482,Alaska Department of Fish and Game,02rh7vj17
483,Alaska Department of Fish and Game,02rh7vj17
484,Alaska Department of Fish and Game,02rh7vj17
485,Alaska Department of Fish and Game,02rh7vj17
486,Alaska Department of Fish and Game,02rh7vj17
487,Alaska Department of Fish and Game,02rh7vj17
488,Alaska Department of Fish and Game,02rh7vj17
489,Alaska Department of Fish and Game,02rh7vj17
490,Alaska Department of Fish and Game,02rh7vj17
491,Alaska Department of Fish and Game,02rh7vj17
492,Alaska Department of Fish and Game,02rh7vj17
493,Alaska Department of Fish and Game,02rh7vj17
494,Alaska Department of Fish and Game,02rh7vj17
495,Alaska Department of Fish and Game,02rh7vj17
496,Alaska Department of Fish and Game,02rh7vj17
497,Alaska Department of Fish and Game,02rh7vj17
498,Alaska Department of Fish and Game,02rh7vj17
499,Alaska Department of Fish and Game,02rh7vj17
500,Alaska Department of Fish and Game,02rh7vj17
501,Alaska Department of Fish and Game,02rh7vj17
502,Alaska Department of Fish and Game,02rh7vj17
503,Alaska Department of Fish and Game,02rh7vj17
504,Alaska Department of Fish and Game,02rh7vj17
505,Alaska Department of Fish and Game,02rh7vj17
506,Alaska Department of Fish and Game,02rh7vj17
507,Alaska Department of Fish and Game,02rh7vj17
508,Alaska Department of Fish and Game,02rh7vj17
509,Alaska Department of Fish and Game,02rh7vj17
510,Alaska Department of Fish and Game,02rh7vj17
511,Alaska Department of Fish and Game,02rh7vj17
512,Alaska Department of Fish and Game,02rh7vj17
513,Alaska Department of Fish and Game,02rh7vj17
514,Alaska Department of Fish and Game,02rh7vj17
515,Alaska Department of Fish and Game,02rh7vj17
516,Alaska Department of Fish and Game,02rh7vj17
517,Alaska Department of Fish and Game,02rh7vj17
518,Alaska Department of Fish and Game,02rh7vj17
519,Alaska Department of Fish and Game,02rh7vj17
520,Alaska Department of Fish and Game,02rh7vj17
521,Alaska Department of Fish and Game,02rh7vj17
522,Alaska Department of Fish and Game,02rh7vj17
523,Alaska Department of Fish and Game,02rh7vj17
524,Alaska Department of Fish and Game,02rh7vj17
525,Alaska Department of Fish and Game,02rh7vj17
526,Alaska Department of Fish and Game,02rh7vj17
527,Alaska Department of Fish and Game,02rh7vj17
528,Alaska Department of Fish and Game,02rh7vj17
529,Alaska Department of Fish and Game,02rh7vj17
530,Alaska Department of Fish and Game,02rh7vj17
531,Alaska Department of Fish and Game,02rh7vj17
532,Alaska Department of Fish and Game,02rh7vj17
533,Alaska Department of Fish and Game,02rh7vj17
534,Alaska Department of Fish and Game,02rh7vj17
535,Alaska Department of Fish and Game,02rh7vj17
536,Alaska Department of Fish and Game,02rh7vj17
537,Alaska Department of Fish and Game,02rh7vj17
538,Alaska Department of Fish and Game,02rh7vj17
539,Alaska Department of Fish and Game,02rh7vj17
540,Alaska Department of Fish and Game,02rh7vj17
541,Alaska Department of Fish and Game,02rh7vj17
542,Alaska Department of Fish and Game,02rh7vj17
543,Alaska Department of Fish and Game,02rh7vj17
544,Alaska Department of Fish and Game,02rh7vj17
545,Alaska Department of Fish and Game,02rh7vj17
546,Alaska Department of Fish and Game,02rh7vj17
547,Alaska Department of Fish and Game,02rh7vj17
548,Alaska Department of Fish and Game,02rh7vj17
549,Alaska Department of Fish and Game,02rh7vj17
550,Alaska Department of Fish and Game,02rh7vj17
551,Alaska Department of Fish and Game,02rh7vj17
552,Alaska Department of Fish and Game,02rh7vj17
553,Alaska Department of Fish and Game,02rh7vj17
554,Alaska Department of Fish and Game,02rh7vj17
555,Alaska Department of Fish and Game,02rh7vj17
556,Alaska Department of Fish and Game,02rh7vj17
557,Alaska Department of Fish and Game,02rh7vj17
558,Alaska Department of Fish and Game,02rh7vj17
559,Alaska Department of Fish and Game,02rh7vj17
560,Alaska Department of Fish and Game,02rh7vj17
561,Alaska Department of Fish and Game,02rh7vj17
562,Alaska Department of Fish and Game,02rh7vj17
563,Alaska Department of Fish and Game,02rh7vj17
564,Alaska Department of Fish and Game,02rh7vj17
565,Alaska Department of Fish and Game,02rh7vj17
566,Alaska Department of Fish and Game,02rh7vj17
567,Alaska Department of Fish and Game,02rh7vj17
568,Alaska Department of Fish and Game,02rh7vj17
569,Alaska Department of Fish and Game,02rh7vj17
570,Alaska Department of Fish and Game,02rh7vj17
571,Alaska Department of Fish and Game,02rh7vj17
572,Alaska Department of Fish and Game,02rh7vj17
573,Alaska Department of Fish and Game,02rh7vj17
574,Alaska Department of Fish and Game,02rh7vj17
575,Alaska Department of Fish and Game,02rh7vj17
576,Alaska Department of Fish and Game,02rh7vj17
577,Alaska Department of Fish and Game,02rh7vj17
578,Alaska Department of Fish and Game,02rh7vj17
579,Alaska Department of Fish and Game,02rh7vj17
580,Alaska Department of Fish and Game,02rh7vj17
581,Alaska Department of Fish and Game,02rh7vj17
