Site_ID_AOV,Funding_Agency,ROR
51,ADF&G: Alaska Department of Fish and Game,02rh7vj17
52,ADF&G: Alaska Department of Fish and Game,02rh7vj17
53,ADF&G: Alaska Department of Fish and Game,02rh7vj17
54,ADF&G: Alaska Department of Fish and Game,02rh7vj17
55,ADF&G: Alaska Department of Fish and Game,02rh7vj17
56,ADF&G: Alaska Department of Fish and Game,02rh7vj17
57,ADF&G: Alaska Department of Fish and Game,02rh7vj17
58,ADF&G: Alaska Department of Fish and Game,02rh7vj17
59,ADF&G: Alaska Department of Fish and Game,02rh7vj17
60,ADF&G: Alaska Department of Fish and Game,02rh7vj17
61,ADF&G: Alaska Department of Fish and Game,02rh7vj17
62,ADF&G: Alaska Department of Fish and Game,02rh7vj17
63,ADF&G: Alaska Department of Fish and Game,02rh7vj17
64,ADF&G: Alaska Department of Fish and Game,02rh7vj17
65,ADF&G: Alaska Department of Fish and Game,02rh7vj17
66,ADF&G: Alaska Department of Fish and Game,02rh7vj17
67,ADF&G: Alaska Department of Fish and Game,02rh7vj17
68,ADF&G: Alaska Department of Fish and Game,02rh7vj17
69,ADF&G: Alaska Department of Fish and Game,02rh7vj17
70,ADF&G: Alaska Department of Fish and Game,02rh7vj17
71,ADF&G: Alaska Department of Fish and Game,02rh7vj17
72,ADF&G: Alaska Department of Fish and Game,02rh7vj17
73,ADF&G: Alaska Department of Fish and Game,02rh7vj17
74,ADF&G: Alaska Department of Fish and Game,02rh7vj17
75,ADF&G: Alaska Department of Fish and Game,02rh7vj17
76,ADF&G: Alaska Department of Fish and Game,02rh7vj17
77,ADF&G: Alaska Department of Fish and Game,02rh7vj17
78,ADF&G: Alaska Department of Fish and Game,02rh7vj17
79,ADF&G: Alaska Department of Fish and Game,02rh7vj17
80,ADF&G: Alaska Department of Fish and Game,02rh7vj17
81,ADF&G: Alaska Department of Fish and Game,02rh7vj17
82,ADF&G: Alaska Department of Fish and Game,02rh7vj17
83,ADF&G: Alaska Department of Fish and Game,02rh7vj17
84,ADF&G: Alaska Department of Fish and Game,02rh7vj17
85,ADF&G: Alaska Department of Fish and Game,02rh7vj17
86,ADF&G: Alaska Department of Fish and Game,02rh7vj17
87,ADF&G: Alaska Department of Fish and Game,02rh7vj17
88,ADF&G: Alaska Department of Fish and Game,02rh7vj17
89,ADF&G: Alaska Department of Fish and Game,02rh7vj17
90,ADF&G: Alaska Department of Fish and Game,02rh7vj17
91,ADF&G: Alaska Department of Fish and Game,02rh7vj17
92,ADF&G: Alaska Department of Fish and Game,02rh7vj17
93,ADF&G: Alaska Department of Fish and Game,02rh7vj17
94,ADF&G: Alaska Department of Fish and Game,02rh7vj17
95,ADF&G: Alaska Department of Fish and Game,02rh7vj17
96,ADF&G: Alaska Department of Fish and Game,02rh7vj17
97,ADF&G: Alaska Department of Fish and Game,02rh7vj17
98,ADF&G: Alaska Department of Fish and Game,02rh7vj17
99,ADF&G: Alaska Department of Fish and Game,02rh7vj17
100,ADF&G: Alaska Department of Fish and Game,02rh7vj17
101,ADF&G: Alaska Department of Fish and Game,02rh7vj17
102,ADF&G: Alaska Department of Fish and Game,02rh7vj17
103,ADF&G: Alaska Department of Fish and Game,02rh7vj17
104,ADF&G: Alaska Department of Fish and Game,02rh7vj17
105,ADF&G: Alaska Department of Fish and Game,02rh7vj17
106,ADF&G: Alaska Department of Fish and Game,02rh7vj17
107,ADF&G: Alaska Department of Fish and Game,02rh7vj17
108,ADF&G: Alaska Department of Fish and Game,02rh7vj17
109,ADF&G: Alaska Department of Fish and Game,02rh7vj17
110,ADF&G: Alaska Department of Fish and Game,02rh7vj17
111,ADF&G: Alaska Department of Fish and Game,02rh7vj17
112,ADF&G: Alaska Department of Fish and Game,02rh7vj17
113,ADF&G: Alaska Department of Fish and Game,02rh7vj17
114,ADF&G: Alaska Department of Fish and Game,02rh7vj17
115,ADF&G: Alaska Department of Fish and Game,02rh7vj17
116,ADF&G: Alaska Department of Fish and Game,02rh7vj17
117,ADF&G: Alaska Department of Fish and Game,02rh7vj17
118,ADF&G: Alaska Department of Fish and Game,02rh7vj17
119,ADF&G: Alaska Department of Fish and Game,02rh7vj17
120,ADF&G: Alaska Department of Fish and Game,02rh7vj17
121,ADF&G: Alaska Department of Fish and Game,02rh7vj17
122,ADF&G: Alaska Department of Fish and Game,02rh7vj17
123,ADF&G: Alaska Department of Fish and Game,02rh7vj17
124,ADF&G: Alaska Department of Fish and Game,02rh7vj17
125,ADF&G: Alaska Department of Fish and Game,02rh7vj17
126,ADF&G: Alaska Department of Fish and Game,02rh7vj17
127,ADF&G: Alaska Department of Fish and Game,02rh7vj17
128,ADF&G: Alaska Department of Fish and Game,02rh7vj17
129,ADF&G: Alaska Department of Fish and Game,02rh7vj17
130,ADF&G: Alaska Department of Fish and Game,02rh7vj17
131,ADF&G: Alaska Department of Fish and Game,02rh7vj17
132,ADF&G: Alaska Department of Fish and Game,02rh7vj17
133,ADF&G: Alaska Department of Fish and Game,02rh7vj17
134,ADF&G: Alaska Department of Fish and Game,02rh7vj17
135,ADF&G: Alaska Department of Fish and Game,02rh7vj17
136,ADF&G: Alaska Department of Fish and Game,02rh7vj17
137,ADF&G: Alaska Department of Fish and Game,02rh7vj17
138,ADF&G: Alaska Department of Fish and Game,02rh7vj17
139,ADF&G: Alaska Department of Fish and Game,02rh7vj17
140,ADF&G: Alaska Department of Fish and Game,02rh7vj17
141,ADF&G: Alaska Department of Fish and Game,02rh7vj17
142,ADF&G: Alaska Department of Fish and Game,02rh7vj17
143,ADF&G: Alaska Department of Fish and Game,02rh7vj17
144,ADF&G: Alaska Department of Fish and Game,02rh7vj17
145,ADF&G: Alaska Department of Fish and Game,02rh7vj17
146,ADF&G: Alaska Department of Fish and Game,02rh7vj17
147,ADF&G: Alaska Department of Fish and Game,02rh7vj17
148,ADF&G: Alaska Department of Fish and Game,02rh7vj17
149,ADF&G: Alaska Department of Fish and Game,02rh7vj17
150,ADF&G: Alaska Department of Fish and Game,02rh7vj17
151,ADF&G: Alaska Department of Fish and Game,02rh7vj17
152,ADF&G: Alaska Department of Fish and Game,02rh7vj17
153,ADF&G: Alaska Department of Fish and Game,02rh7vj17
154,ADF&G: Alaska Department of Fish and Game,02rh7vj17
155,ADF&G: Alaska Department of Fish and Game,02rh7vj17
156,ADF&G: Alaska Department of Fish and Game,02rh7vj17
157,ADF&G: Alaska Department of Fish and Game,02rh7vj17
158,ADF&G: Alaska Department of Fish and Game,02rh7vj17
159,ADF&G: Alaska Department of Fish and Game,02rh7vj17
160,ADF&G: Alaska Department of Fish and Game,02rh7vj17
161,ADF&G: Alaska Department of Fish and Game,02rh7vj17
162,ADF&G: Alaska Department of Fish and Game,02rh7vj17
163,ADF&G: Alaska Department of Fish and Game,02rh7vj17
164,ADF&G: Alaska Department of Fish and Game,02rh7vj17
165,ADF&G: Alaska Department of Fish and Game,02rh7vj17
166,ADF&G: Alaska Department of Fish and Game,02rh7vj17
167,ADF&G: Alaska Department of Fish and Game,02rh7vj17
168,ADF&G: Alaska Department of Fish and Game,02rh7vj17
169,ADF&G: Alaska Department of Fish and Game,02rh7vj17
170,ADF&G: Alaska Department of Fish and Game,02rh7vj17
171,ADF&G: Alaska Department of Fish and Game,02rh7vj17
172,ADF&G: Alaska Department of Fish and Game,02rh7vj17
173,ADF&G: Alaska Department of Fish and Game,02rh7vj17
174,ADF&G: Alaska Department of Fish and Game,02rh7vj17
175,ADF&G: Alaska Department of Fish and Game,02rh7vj17
176,ADF&G: Alaska Department of Fish and Game,02rh7vj17
177,ADF&G: Alaska Department of Fish and Game,02rh7vj17
178,ADF&G: Alaska Department of Fish and Game,02rh7vj17
179,ADF&G: Alaska Department of Fish and Game,02rh7vj17
180,ADF&G: Alaska Department of Fish and Game,02rh7vj17
181,ADF&G: Alaska Department of Fish and Game,02rh7vj17
182,ADF&G: Alaska Department of Fish and Game,02rh7vj17
183,ADF&G: Alaska Department of Fish and Game,02rh7vj17
184,ADF&G: Alaska Department of Fish and Game,02rh7vj17
185,ADF&G: Alaska Department of Fish and Game,02rh7vj17
186,ADF&G: Alaska Department of Fish and Game,02rh7vj17
187,ADF&G: Alaska Department of Fish and Game,02rh7vj17
188,ADF&G: Alaska Department of Fish and Game,02rh7vj17
189,ADF&G: Alaska Department of Fish and Game,02rh7vj17
190,ADF&G: Alaska Department of Fish and Game,02rh7vj17
191,ADF&G: Alaska Department of Fish and Game,02rh7vj17
192,ADF&G: Alaska Department of Fish and Game,02rh7vj17
193,ADF&G: Alaska Department of Fish and Game,02rh7vj17
194,ADF&G: Alaska Department of Fish and Game,02rh7vj17
195,ADF&G: Alaska Department of Fish and Game,02rh7vj17
196,ADF&G: Alaska Department of Fish and Game,02rh7vj17
197,ADF&G: Alaska Department of Fish and Game,02rh7vj17
198,ADF&G: Alaska Department of Fish and Game,02rh7vj17
199,ADF&G: Alaska Department of Fish and Game,02rh7vj17
200,ADF&G: Alaska Department of Fish and Game,02rh7vj17
201,ADF&G: Alaska Department of Fish and Game,02rh7vj17
202,ADF&G: Alaska Department of Fish and Game,02rh7vj17
203,ADF&G: Alaska Department of Fish and Game,02rh7vj17
204,ADF&G: Alaska Department of Fish and Game,02rh7vj17
205,ADF&G: Alaska Department of Fish and Game,02rh7vj17
206,ADF&G: Alaska Department of Fish and Game,02rh7vj17
207,ADF&G: Alaska Department of Fish and Game,02rh7vj17
208,ADF&G: Alaska Department of Fish and Game,02rh7vj17
209,ADF&G: Alaska Department of Fish and Game,02rh7vj17
210,ADF&G: Alaska Department of Fish and Game,02rh7vj17
211,ADF&G: Alaska Department of Fish and Game,02rh7vj17
212,ADF&G: Alaska Department of Fish and Game,02rh7vj17
213,ADF&G: Alaska Department of Fish and Game,02rh7vj17
214,ADF&G: Alaska Department of Fish and Game,02rh7vj17
215,ADF&G: Alaska Department of Fish and Game,02rh7vj17
216,ADF&G: Alaska Department of Fish and Game,02rh7vj17
217,ADF&G: Alaska Department of Fish and Game,02rh7vj17
218,ADF&G: Alaska Department of Fish and Game,02rh7vj17
219,ADF&G: Alaska Department of Fish and Game,02rh7vj17
220,ADF&G: Alaska Department of Fish and Game,02rh7vj17
221,ADF&G: Alaska Department of Fish and Game,02rh7vj17
222,ADF&G: Alaska Department of Fish and Game,02rh7vj17
223,ADF&G: Alaska Department of Fish and Game,02rh7vj17
224,ADF&G: Alaska Department of Fish and Game,02rh7vj17
225,ADF&G: Alaska Department of Fish and Game,02rh7vj17
226,ADF&G: Alaska Department of Fish and Game,02rh7vj17
227,ADF&G: Alaska Department of Fish and Game,02rh7vj17
228,ADF&G: Alaska Department of Fish and Game,02rh7vj17
229,ADF&G: Alaska Department of Fish and Game,02rh7vj17
230,ADF&G: Alaska Department of Fish and Game,02rh7vj17
231,ADF&G: Alaska Department of Fish and Game,02rh7vj17
232,ADF&G: Alaska Department of Fish and Game,02rh7vj17
233,ADF&G: Alaska Department of Fish and Game,02rh7vj17
234,ADF&G: Alaska Department of Fish and Game,02rh7vj17
235,ADF&G: Alaska Department of Fish and Game,02rh7vj17
236,ADF&G: Alaska Department of Fish and Game,02rh7vj17
237,ADF&G: Alaska Department of Fish and Game,02rh7vj17
238,ADF&G: Alaska Department of Fish and Game,02rh7vj17
239,ADF&G: Alaska Department of Fish and Game,02rh7vj17
240,ADF&G: Alaska Department of Fish and Game,02rh7vj17
241,ADF&G: Alaska Department of Fish and Game,02rh7vj17
242,ADF&G: Alaska Department of Fish and Game,02rh7vj17
243,ADF&G: Alaska Department of Fish and Game,02rh7vj17
244,ADF&G: Alaska Department of Fish and Game,02rh7vj17
245,ADF&G: Alaska Department of Fish and Game,02rh7vj17
246,ADF&G: Alaska Department of Fish and Game,02rh7vj17
247,ADF&G: Alaska Department of Fish and Game,02rh7vj17
248,ADF&G: Alaska Department of Fish and Game,02rh7vj17
249,ADF&G: Alaska Department of Fish and Game,02rh7vj17
250,ADF&G: Alaska Department of Fish and Game,02rh7vj17
251,ADF&G: Alaska Department of Fish and Game,02rh7vj17
252,ADF&G: Alaska Department of Fish and Game,02rh7vj17
253,ADF&G: Alaska Department of Fish and Game,02rh7vj17
254,ADF&G: Alaska Department of Fish and Game,02rh7vj17
255,ADF&G: Alaska Department of Fish and Game,02rh7vj17
256,ADF&G: Alaska Department of Fish and Game,02rh7vj17
257,ADF&G: Alaska Department of Fish and Game,02rh7vj17
258,ADF&G: Alaska Department of Fish and Game,02rh7vj17
259,ADF&G: Alaska Department of Fish and Game,02rh7vj17
260,ADF&G: Alaska Department of Fish and Game,02rh7vj17
261,ADF&G: Alaska Department of Fish and Game,02rh7vj17
262,ADF&G: Alaska Department of Fish and Game,02rh7vj17
263,ADF&G: Alaska Department of Fish and Game,02rh7vj17
264,ADF&G: Alaska Department of Fish and Game,02rh7vj17
265,ADF&G: Alaska Department of Fish and Game,02rh7vj17
266,ADF&G: Alaska Department of Fish and Game,02rh7vj17
267,ADF&G: Alaska Department of Fish and Game,02rh7vj17
268,ADF&G: Alaska Department of Fish and Game,02rh7vj17
269,ADF&G: Alaska Department of Fish and Game,02rh7vj17
270,ADF&G: Alaska Department of Fish and Game,02rh7vj17
271,ADF&G: Alaska Department of Fish and Game,02rh7vj17
272,ADF&G: Alaska Department of Fish and Game,02rh7vj17
273,ADF&G: Alaska Department of Fish and Game,02rh7vj17
274,ADF&G: Alaska Department of Fish and Game,02rh7vj17
275,ADF&G: Alaska Department of Fish and Game,02rh7vj17
276,ADF&G: Alaska Department of Fish and Game,02rh7vj17
277,ADF&G: Alaska Department of Fish and Game,02rh7vj17
278,ADF&G: Alaska Department of Fish and Game,02rh7vj17
279,ADF&G: Alaska Department of Fish and Game,02rh7vj17
280,ADF&G: Alaska Department of Fish and Game,02rh7vj17
281,ADF&G: Alaska Department of Fish and Game,02rh7vj17
282,ADF&G: Alaska Department of Fish and Game,02rh7vj17
283,ADF&G: Alaska Department of Fish and Game,02rh7vj17
284,ADF&G: Alaska Department of Fish and Game,02rh7vj17
285,ADF&G: Alaska Department of Fish and Game,02rh7vj17
286,ADF&G: Alaska Department of Fish and Game,02rh7vj17
287,ADF&G: Alaska Department of Fish and Game,02rh7vj17
288,ADF&G: Alaska Department of Fish and Game,02rh7vj17
289,ADF&G: Alaska Department of Fish and Game,02rh7vj17
290,ADF&G: Alaska Department of Fish and Game,02rh7vj17
291,ADF&G: Alaska Department of Fish and Game,02rh7vj17
292,ADF&G: Alaska Department of Fish and Game,02rh7vj17
293,ADF&G: Alaska Department of Fish and Game,02rh7vj17
294,ADF&G: Alaska Department of Fish and Game,02rh7vj17
295,ADF&G: Alaska Department of Fish and Game,02rh7vj17
296,ADF&G: Alaska Department of Fish and Game,02rh7vj17
297,ADF&G: Alaska Department of Fish and Game,02rh7vj17
298,ADF&G: Alaska Department of Fish and Game,02rh7vj17
299,ADF&G: Alaska Department of Fish and Game,02rh7vj17
300,ADF&G: Alaska Department of Fish and Game,02rh7vj17
301,ADF&G: Alaska Department of Fish and Game,02rh7vj17
302,ADF&G: Alaska Department of Fish and Game,02rh7vj17
303,ADF&G: Alaska Department of Fish and Game,02rh7vj17
304,ADF&G: Alaska Department of Fish and Game,02rh7vj17
305,ADF&G: Alaska Department of Fish and Game,02rh7vj17
306,ADF&G: Alaska Department of Fish and Game,02rh7vj17
307,ADF&G: Alaska Department of Fish and Game,02rh7vj17
308,ADF&G: Alaska Department of Fish and Game,02rh7vj17
309,ADF&G: Alaska Department of Fish and Game,02rh7vj17
310,ADF&G: Alaska Department of Fish and Game,02rh7vj17
311,ADF&G: Alaska Department of Fish and Game,02rh7vj17
312,ADF&G: Alaska Department of Fish and Game,02rh7vj17
313,ADF&G: Alaska Department of Fish and Game,02rh7vj17
314,ADF&G: Alaska Department of Fish and Game,02rh7vj17
315,ADF&G: Alaska Department of Fish and Game,02rh7vj17
316,ADF&G: Alaska Department of Fish and Game,02rh7vj17
317,ADF&G: Alaska Department of Fish and Game,02rh7vj17
318,ADF&G: Alaska Department of Fish and Game,02rh7vj17
319,ADF&G: Alaska Department of Fish and Game,02rh7vj17
320,ADF&G: Alaska Department of Fish and Game,02rh7vj17
321,ADF&G: Alaska Department of Fish and Game,02rh7vj17
322,ADF&G: Alaska Department of Fish and Game,02rh7vj17
323,ADF&G: Alaska Department of Fish and Game,02rh7vj17
324,ADF&G: Alaska Department of Fish and Game,02rh7vj17
325,ADF&G: Alaska Department of Fish and Game,02rh7vj17
326,ADF&G: Alaska Department of Fish and Game,02rh7vj17
327,ADF&G: Alaska Department of Fish and Game,02rh7vj17
328,ADF&G: Alaska Department of Fish and Game,02rh7vj17
329,ADF&G: Alaska Department of Fish and Game,02rh7vj17
330,ADF&G: Alaska Department of Fish and Game,02rh7vj17
331,ADF&G: Alaska Department of Fish and Game,02rh7vj17
332,ADF&G: Alaska Department of Fish and Game,02rh7vj17
333,ADF&G: Alaska Department of Fish and Game,02rh7vj17
334,ADF&G: Alaska Department of Fish and Game,02rh7vj17
335,ADF&G: Alaska Department of Fish and Game,02rh7vj17
336,ADF&G: Alaska Department of Fish and Game,02rh7vj17
337,ADF&G: Alaska Department of Fish and Game,02rh7vj17
338,ADF&G: Alaska Department of Fish and Game,02rh7vj17
339,ADF&G: Alaska Department of Fish and Game,02rh7vj17
340,ADF&G: Alaska Department of Fish and Game,02rh7vj17
341,ADF&G: Alaska Department of Fish and Game,02rh7vj17
342,ADF&G: Alaska Department of Fish and Game,02rh7vj17
343,ADF&G: Alaska Department of Fish and Game,02rh7vj17
344,ADF&G: Alaska Department of Fish and Game,02rh7vj17
345,ADF&G: Alaska Department of Fish and Game,02rh7vj17
346,ADF&G: Alaska Department of Fish and Game,02rh7vj17
347,ADF&G: Alaska Department of Fish and Game,02rh7vj17
348,ADF&G: Alaska Department of Fish and Game,02rh7vj17
349,ADF&G: Alaska Department of Fish and Game,02rh7vj17
350,ADF&G: Alaska Department of Fish and Game,02rh7vj17
351,ADF&G: Alaska Department of Fish and Game,02rh7vj17
352,ADF&G: Alaska Department of Fish and Game,02rh7vj17
353,ADF&G: Alaska Department of Fish and Game,02rh7vj17
354,ADF&G: Alaska Department of Fish and Game,02rh7vj17
355,ADF&G: Alaska Department of Fish and Game,02rh7vj17
356,ADF&G: Alaska Department of Fish and Game,02rh7vj17
357,ADF&G: Alaska Department of Fish and Game,02rh7vj17
358,ADF&G: Alaska Department of Fish and Game,02rh7vj17
359,ADF&G: Alaska Department of Fish and Game,02rh7vj17
360,ADF&G: Alaska Department of Fish and Game,02rh7vj17
361,ADF&G: Alaska Department of Fish and Game,02rh7vj17
362,ADF&G: Alaska Department of Fish and Game,02rh7vj17
363,ADF&G: Alaska Department of Fish and Game,02rh7vj17
364,ADF&G: Alaska Department of Fish and Game,02rh7vj17
365,ADF&G: Alaska Department of Fish and Game,02rh7vj17
366,ADF&G: Alaska Department of Fish and Game,02rh7vj17
367,ADF&G: Alaska Department of Fish and Game,02rh7vj17
368,ADF&G: Alaska Department of Fish and Game,02rh7vj17
369,ADF&G: Alaska Department of Fish and Game,02rh7vj17
370,ADF&G: Alaska Department of Fish and Game,02rh7vj17
371,ADF&G: Alaska Department of Fish and Game,02rh7vj17
372,ADF&G: Alaska Department of Fish and Game,02rh7vj17
373,ADF&G: Alaska Department of Fish and Game,02rh7vj17
374,ADF&G: Alaska Department of Fish and Game,02rh7vj17
375,ADF&G: Alaska Department of Fish and Game,02rh7vj17
376,ADF&G: Alaska Department of Fish and Game,02rh7vj17
377,ADF&G: Alaska Department of Fish and Game,02rh7vj17
378,ADF&G: Alaska Department of Fish and Game,02rh7vj17
379,ADF&G: Alaska Department of Fish and Game,02rh7vj17
380,ADF&G: Alaska Department of Fish and Game,02rh7vj17
381,ADF&G: Alaska Department of Fish and Game,02rh7vj17
382,ADF&G: Alaska Department of Fish and Game,02rh7vj17
383,ADF&G: Alaska Department of Fish and Game,02rh7vj17
384,ADF&G: Alaska Department of Fish and Game,02rh7vj17
385,ADF&G: Alaska Department of Fish and Game,02rh7vj17
386,ADF&G: Alaska Department of Fish and Game,02rh7vj17
387,ADF&G: Alaska Department of Fish and Game,02rh7vj17
388,ADF&G: Alaska Department of Fish and Game,02rh7vj17
389,ADF&G: Alaska Department of Fish and Game,02rh7vj17
390,ADF&G: Alaska Department of Fish and Game,02rh7vj17
391,ADF&G: Alaska Department of Fish and Game,02rh7vj17
392,ADF&G: Alaska Department of Fish and Game,02rh7vj17
393,ADF&G: Alaska Department of Fish and Game,02rh7vj17
394,ADF&G: Alaska Department of Fish and Game,02rh7vj17
395,ADF&G: Alaska Department of Fish and Game,02rh7vj17
396,ADF&G: Alaska Department of Fish and Game,02rh7vj17
397,ADF&G: Alaska Department of Fish and Game,02rh7vj17
398,ADF&G: Alaska Department of Fish and Game,02rh7vj17
399,ADF&G: Alaska Department of Fish and Game,02rh7vj17
400,ADF&G: Alaska Department of Fish and Game,02rh7vj17
401,ADF&G: Alaska Department of Fish and Game,02rh7vj17
402,ADF&G: Alaska Department of Fish and Game,02rh7vj17
403,ADF&G: Alaska Department of Fish and Game,02rh7vj17
404,ADF&G: Alaska Department of Fish and Game,02rh7vj17
405,ADF&G: Alaska Department of Fish and Game,02rh7vj17
406,ADF&G: Alaska Department of Fish and Game,02rh7vj17
407,ADF&G: Alaska Department of Fish and Game,02rh7vj17
408,ADF&G: Alaska Department of Fish and Game,02rh7vj17
409,ADF&G: Alaska Department of Fish and Game,02rh7vj17
410,ADF&G: Alaska Department of Fish and Game,02rh7vj17
411,ADF&G: Alaska Department of Fish and Game,02rh7vj17
412,ADF&G: Alaska Department of Fish and Game,02rh7vj17
413,ADF&G: Alaska Department of Fish and Game,02rh7vj17
414,ADF&G: Alaska Department of Fish and Game,02rh7vj17
415,ADF&G: Alaska Department of Fish and Game,02rh7vj17
416,ADF&G: Alaska Department of Fish and Game,02rh7vj17
417,ADF&G: Alaska Department of Fish and Game,02rh7vj17
418,ADF&G: Alaska Department of Fish and Game,02rh7vj17
419,ADF&G: Alaska Department of Fish and Game,02rh7vj17
420,ADF&G: Alaska Department of Fish and Game,02rh7vj17
421,ADF&G: Alaska Department of Fish and Game,02rh7vj17
422,ADF&G: Alaska Department of Fish and Game,02rh7vj17
423,ADF&G: Alaska Department of Fish and Game,02rh7vj17
424,ADF&G: Alaska Department of Fish and Game,02rh7vj17
425,ADF&G: Alaska Department of Fish and Game,02rh7vj17
426,ADF&G: Alaska Department of Fish and Game,02rh7vj17
427,ADF&G: Alaska Department of Fish and Game,02rh7vj17
428,ADF&G: Alaska Department of Fish and Game,02rh7vj17
429,ADF&G: Alaska Department of Fish and Game,02rh7vj17
430,ADF&G: Alaska Department of Fish and Game,02rh7vj17
431,ADF&G: Alaska Department of Fish and Game,02rh7vj17
432,ADF&G: Alaska Department of Fish and Game,02rh7vj17
433,ADF&G: Alaska Department of Fish and Game,02rh7vj17
434,ADF&G: Alaska Department of Fish and Game,02rh7vj17
435,ADF&G: Alaska Department of Fish and Game,02rh7vj17
436,ADF&G: Alaska Department of Fish and Game,02rh7vj17
437,ADF&G: Alaska Department of Fish and Game,02rh7vj17
438,ADF&G: Alaska Department of Fish and Game,02rh7vj17
439,ADF&G: Alaska Department of Fish and Game,02rh7vj17
440,ADF&G: Alaska Department of Fish and Game,02rh7vj17
441,ADF&G: Alaska Department of Fish and Game,02rh7vj17
442,ADF&G: Alaska Department of Fish and Game,02rh7vj17
443,ADF&G: Alaska Department of Fish and Game,02rh7vj17
444,ADF&G: Alaska Department of Fish and Game,02rh7vj17
445,ADF&G: Alaska Department of Fish and Game,02rh7vj17
446,ADF&G: Alaska Department of Fish and Game,02rh7vj17
447,ADF&G: Alaska Department of Fish and Game,02rh7vj17
448,ADF&G: Alaska Department of Fish and Game,02rh7vj17
449,ADF&G: Alaska Department of Fish and Game,02rh7vj17
450,ADF&G: Alaska Department of Fish and Game,02rh7vj17
451,ADF&G: Alaska Department of Fish and Game,02rh7vj17
452,ADF&G: Alaska Department of Fish and Game,02rh7vj17
453,ADF&G: Alaska Department of Fish and Game,02rh7vj17
454,ADF&G: Alaska Department of Fish and Game,02rh7vj17
455,ADF&G: Alaska Department of Fish and Game,02rh7vj17
456,ADF&G: Alaska Department of Fish and Game,02rh7vj17
457,ADF&G: Alaska Department of Fish and Game,02rh7vj17
458,ADF&G: Alaska Department of Fish and Game,02rh7vj17
459,ADF&G: Alaska Department of Fish and Game,02rh7vj17
460,ADF&G: Alaska Department of Fish and Game,02rh7vj17
461,ADF&G: Alaska Department of Fish and Game,02rh7vj17
462,ADF&G: Alaska Department of Fish and Game,02rh7vj17
463,ADF&G: Alaska Department of Fish and Game,02rh7vj17
464,ADF&G: Alaska Department of Fish and Game,02rh7vj17
465,ADF&G: Alaska Department of Fish and Game,02rh7vj17
